plan_id,plan_date,customer_name,origin_plant,origin_state,destination,destination_state,distance_km,planned_qty_t,min_rake_tonnage,terminal_cost,expected_demurrage,priority_score,rake_available,siding_slots,inventory_t,production_forecast_t,yard_id,product_type,wagon_type,route_via,lead_time_days
PLAN_2024_0001,05/11/2025,Customer_8,Bokaro Steel Plant,Maharashtra,Tata Steel Jamshedpur,Jharkhand,1369,108,195,6914,4543,0.13,0,0,7113,2808,YARD_6,Coal,BOXN,Via Bilaspur,6
PLAN_2024_0002,03/11/2025,Customer_30,Bokaro Steel Plant,Chhattisgarh,RINL Visakhapatnam,Odisha,949,443,226,12787,4318,0.53,1,4,6054,3858,YARD_9,Iron Ore,BOXN,Via Nagpur,4
PLAN_2024_0003,17/10/2025,Customer_14,Bhilai Steel Plant,Maharashtra,SAIL Burnpur,Andhra Pradesh,764,371,181,6165,4148,0.83,0,0,2383,2364,YARD_3,Finished Steel,BOXN,Direct,4
PLAN_2024_0004,16/10/2025,Customer_38,Rourkela Steel Plant,Andhra Pradesh,RINL Visakhapatnam,Maharashtra,482,277,151,6417,2573,0.71,1,5,2857,4143,YARD_9,Coal,BCN,Direct,10
PLAN_2024_0005,09/11/2025,Customer_7,Bokaro Steel Plant,Odisha,Essar Steel Hazira,Chhattisgarh,407,472,227,5510,4689,0.35,0,0,5586,2540,YARD_6,Limestone,BCN,Via Nagpur,6
PLAN_2024_0006,05/11/2025,Customer_48,Durgapur Steel Plant,Odisha,Jindal Steel Raigarh,Andhra Pradesh,219,500,196,6820,4297,0.27,1,4,3181,666,YARD_9,Finished Steel,BTPN,Direct,5
PLAN_2024_0007,06/11/2025,Customer_41,Bokaro Steel Plant,Gujarat,Bhushan Steel Meramandali,Odisha,1197,169,197,8796,7163,0.75,1,2,9672,3329,YARD_4,Finished Steel,BCN,Via Bilaspur,4
PLAN_2024_0008,19/10/2025,Customer_15,Rourkela Steel Plant,Andhra Pradesh,RINL Visakhapatnam,West Bengal,546,127,194,6362,1001,0.18,1,1,8117,3804,YARD_5,Limestone,BCN,Via Tatanagar,3
PLAN_2024_0009,29/10/2025,Customer_42,Bhilai Steel Plant,Gujarat,Essar Steel Hazira,Odisha,326,311,208,9773,7051,0.87,1,3,6974,3631,YARD_2,Finished Steel,BCN,Direct,7
PLAN_2024_0010,04/11/2025,Customer_24,Durgapur Steel Plant,Jharkhand,RINL Visakhapatnam,Maharashtra,713,303,223,19530,4920,0.84,0,0,5072,4844,YARD_4,Finished Steel,BRN,Direct,6
PLAN_2024_0011,19/10/2025,Customer_48,Durgapur Steel Plant,West Bengal,Essar Steel Hazira,Gujarat,1348,390,211,13306,6410,0.95,0,0,3379,2037,YARD_4,Coal,BTPN,Via Nagpur,4
PLAN_2024_0012,05/11/2025,Customer_7,Bokaro Steel Plant,Andhra Pradesh,JSW Steel Dolvi,Odisha,1142,388,189,5417,2333,0.37,0,0,9673,4488,YARD_5,Iron Ore,BTPN,Direct,10
PLAN_2024_0013,04/11/2025,Customer_45,Bhilai Steel Plant,Odisha,Bhushan Steel Meramandali,Andhra Pradesh,266,117,123,19593,3987,0.99,0,0,5305,1605,YARD_9,Limestone,BRN,Via Tatanagar,10
PLAN_2024_0014,24/10/2025,Customer_47,Durgapur Steel Plant,West Bengal,Essar Steel Hazira,Gujarat,268,210,107,12096,4971,0.71,0,0,7972,3509,YARD_2,Iron Ore,BOXN,Via Tatanagar,10
PLAN_2024_0015,16/10/2025,Customer_23,Bokaro Steel Plant,West Bengal,Jindal Steel Raigarh,Jharkhand,1498,194,208,18023,6855,0.24,1,3,1251,2985,YARD_4,Coal,BRN,Via Bilaspur,8
PLAN_2024_0016,06/11/2025,Customer_32,Bokaro Steel Plant,Andhra Pradesh,Tata Steel Jamshedpur,West Bengal,956,159,110,17348,1276,0.95,0,0,5584,3166,YARD_3,Coal,BOXN,Via Tatanagar,10
